,Time,LeftDuration,RightDuration,TotalDuration,Resource,longestTimeBtwnFeeds,# of Night Feeds,# of Night Wakes,EndTime,DateOnly,DateString,Time_SameDate,EndTime_SameDate,Daydifference,Time_SameDate2,EndTime_SameDate2,AgeInWeeks
38,2017-08-05 03:50:00,,,60.0,Sleep,,,,2017-08-05 04:50:00,2017-08-05,2017-08-05,2019-01-01 03:50:00,2019-01-01 04:50:00,3 days,2017-08-02 03:50:00,2017-08-02 04:50:00,0.0
39,2017-08-05 05:00:00,19.0,21.0,40.0,Nursing,,,,2017-08-05 05:40:00,2017-08-05,2017-08-05,2019-01-01 05:00:00,2019-01-01 05:40:00,3 days,2017-08-02 05:00:00,2017-08-02 05:40:00,0.0
40,2017-08-05 05:50:00,,,85.0,Sleep,,,,2017-08-05 07:15:00,2017-08-05,2017-08-05,2019-01-01 05:50:00,2019-01-01 07:15:00,3 days,2017-08-02 05:50:00,2017-08-02 07:15:00,0.0
41,2017-08-05 07:20:00,,,15.0,Mixed,,,,2017-08-05 07:35:00,2017-08-05,2017-08-05,2019-01-01 07:20:00,2019-01-01 07:35:00,3 days,2017-08-02 07:20:00,2017-08-02 07:35:00,0.0
42,2017-08-05 07:45:00,,,76.0,Sleep,,,,2017-08-05 09:01:00,2017-08-05,2017-08-05,2019-01-01 07:45:00,2019-01-01 09:01:00,3 days,2017-08-02 07:45:00,2017-08-02 09:01:00,0.0
43,2017-08-05 09:01:00,12.0,27.0,39.0,Nursing,,,,2017-08-05 09:40:00,2017-08-05,2017-08-05,2019-01-01 09:01:00,2019-01-01 09:40:00,3 days,2017-08-02 09:01:00,2017-08-02 09:40:00,0.0
44,2017-08-05 09:55:00,,,15.0,Mixed,,,,2017-08-05 10:10:00,2017-08-05,2017-08-05,2019-01-01 09:55:00,2019-01-01 10:10:00,3 days,2017-08-02 09:55:00,2017-08-02 10:10:00,0.0
45,2017-08-05 11:05:00,,,23.0,Sleep,,,,2017-08-05 11:28:00,2017-08-05,2017-08-05,2019-01-01 11:05:00,2019-01-01 11:28:00,3 days,2017-08-02 11:05:00,2017-08-02 11:28:00,0.0
46,2017-08-05 11:30:00,20.0,8.0,28.0,Nursing,,,,2017-08-05 11:58:00,2017-08-05,2017-08-05,2019-01-01 11:30:00,2019-01-01 11:58:00,3 days,2017-08-02 11:30:00,2017-08-02 11:58:00,0.0
47,2017-08-05 12:00:00,,,76.0,Sleep,,,,2017-08-05 13:16:00,2017-08-05,2017-08-05,2019-01-01 12:00:00,2019-01-01 13:16:00,3 days,2017-08-02 12:00:00,2017-08-02 13:16:00,0.0
48,2017-08-05 13:30:00,,,38.0,Sleep,,,,2017-08-05 14:08:00,2017-08-05,2017-08-05,2019-01-01 13:30:00,2019-01-01 14:08:00,3 days,2017-08-02 13:30:00,2017-08-02 14:08:00,0.0
49,2017-08-05 14:04:00,10.0,20.0,30.0,Nursing,,,,2017-08-05 14:34:00,2017-08-05,2017-08-05,2019-01-01 14:04:00,2019-01-01 14:34:00,3 days,2017-08-02 14:04:00,2017-08-02 14:34:00,0.0
50,2017-08-05 15:15:00,,,32.0,Sleep,,,,2017-08-05 15:47:00,2017-08-05,2017-08-05,2019-01-01 15:15:00,2019-01-01 15:47:00,3 days,2017-08-02 15:15:00,2017-08-02 15:47:00,0.0
51,2017-08-05 16:00:00,,,15.0,Mixed,,,,2017-08-05 16:15:00,2017-08-05,2017-08-05,2019-01-01 16:00:00,2019-01-01 16:15:00,3 days,2017-08-02 16:00:00,2017-08-02 16:15:00,0.0
52,2017-08-05 16:16:00,19.0,4.0,23.0,Nursing,,,,2017-08-05 16:39:00,2017-08-05,2017-08-05,2019-01-01 16:16:00,2019-01-01 16:39:00,3 days,2017-08-02 16:16:00,2017-08-02 16:39:00,0.0
53,2017-08-05 16:42:00,,,162.0,Sleep,,,,2017-08-05 19:24:00,2017-08-05,2017-08-05,2019-01-01 16:42:00,2019-01-01 19:24:00,3 days,2017-08-02 16:42:00,2017-08-02 19:24:00,0.0
54,2017-08-05 19:30:00,10.0,20.0,30.0,Nursing,178.0,6.0,7.0,2017-08-05 20:00:00,2017-08-05,2017-08-05,2019-01-01 19:30:00,2019-01-01 20:00:00,3 days,2017-08-02 19:30:00,2017-08-02 20:00:00,0.0
55,2017-08-05 19:55:00,,,15.0,Mixed,,,,2017-08-05 20:10:00,2017-08-05,2017-08-05,2019-01-01 19:55:00,2019-01-01 20:10:00,3 days,2017-08-02 19:55:00,2017-08-02 20:10:00,0.0
56,2017-08-05 20:05:00,,,42.0,Sleep,,,,2017-08-05 20:47:00,2017-08-05,2017-08-05,2019-01-01 20:05:00,2019-01-01 20:47:00,3 days,2017-08-02 20:05:00,2017-08-02 20:47:00,0.0
57,2017-08-05 20:56:00,,,88.0,Sleep,,,,2017-08-05 22:24:00,2017-08-05,2017-08-05,2019-01-01 20:56:00,2019-01-01 22:24:00,3 days,2017-08-02 20:56:00,2017-08-02 22:24:00,0.0
58,2017-08-05 22:28:00,16.0,9.0,25.0,Nursing,,,,2017-08-05 22:53:00,2017-08-05,2017-08-05,2019-01-01 22:28:00,2019-01-01 22:53:00,3 days,2017-08-02 22:28:00,2017-08-02 22:53:00,0.0
59,2017-08-06 00:02:00,,,58.0,Sleep,,,,2017-08-06 01:00:00,2017-08-06,2017-08-06,2019-01-01 00:02:00,2019-01-01 01:00:00,4 days,2017-08-02 00:02:00,2017-08-02 01:00:00,0.0
60,2017-08-06 01:01:00,11.0,18.0,29.0,Nursing,,,,2017-08-06 01:30:00,2017-08-06,2017-08-06,2019-01-01 01:01:00,2019-01-01 01:30:00,4 days,2017-08-02 01:01:00,2017-08-02 01:30:00,0.0
61,2017-08-06 01:20:00,,,9.0,Sleep,,,,2017-08-06 01:29:00,2017-08-06,2017-08-06,2019-01-01 01:20:00,2019-01-01 01:29:00,4 days,2017-08-02 01:20:00,2017-08-02 01:29:00,0.0
62,2017-08-06 01:42:00,,,116.0,Sleep,,,,2017-08-06 03:38:00,2017-08-06,2017-08-06,2019-01-01 01:42:00,2019-01-01 03:38:00,4 days,2017-08-02 01:42:00,2017-08-02 03:38:00,0.0
63,2017-08-06 03:39:00,21.0,14.0,35.0,Nursing,,,,2017-08-06 04:14:00,2017-08-06,2017-08-06,2019-01-01 03:39:00,2019-01-01 04:14:00,4 days,2017-08-02 03:39:00,2017-08-02 04:14:00,0.0
64,2017-08-06 04:08:00,,,42.0,Sleep,,,,2017-08-06 04:50:00,2017-08-06,2017-08-06,2019-01-01 04:08:00,2019-01-01 04:50:00,4 days,2017-08-02 04:08:00,2017-08-02 04:50:00,0.0
65,2017-08-06 04:40:00,,,15.0,Wet,,,,2017-08-06 04:55:00,2017-08-06,2017-08-06,2019-01-01 04:40:00,2019-01-01 04:55:00,4 days,2017-08-02 04:40:00,2017-08-02 04:55:00,0.0
66,2017-08-06 05:30:00,,,29.0,Sleep,,,,2017-08-06 05:59:00,2017-08-06,2017-08-06,2019-01-01 05:30:00,2019-01-01 05:59:00,4 days,2017-08-02 05:30:00,2017-08-02 05:59:00,0.0
67,2017-08-06 05:59:00,0.0,15.0,15.0,Nursing,,,,2017-08-06 06:14:00,2017-08-06,2017-08-06,2019-01-01 05:59:00,2019-01-01 06:14:00,4 days,2017-08-02 05:59:00,2017-08-02 06:14:00,0.0
68,2017-08-06 06:15:00,,,28.0,Sleep,,,,2017-08-06 06:43:00,2017-08-06,2017-08-06,2019-01-01 06:15:00,2019-01-01 06:43:00,4 days,2017-08-02 06:15:00,2017-08-02 06:43:00,0.0
69,2017-08-06 06:52:00,16.0,0.0,16.0,Nursing,,,,2017-08-06 07:08:00,2017-08-06,2017-08-06,2019-01-01 06:52:00,2019-01-01 07:08:00,4 days,2017-08-02 06:52:00,2017-08-02 07:08:00,0.0
70,2017-08-06 07:08:00,,,112.0,Sleep,,,,2017-08-06 09:00:00,2017-08-06,2017-08-06,2019-01-01 07:08:00,2019-01-01 09:00:00,4 days,2017-08-02 07:08:00,2017-08-02 09:00:00,0.0
71,2017-08-06 09:07:00,18.0,20.0,38.0,Nursing,,,,2017-08-06 09:45:00,2017-08-06,2017-08-06,2019-01-01 09:07:00,2019-01-01 09:45:00,4 days,2017-08-02 09:07:00,2017-08-02 09:45:00,0.0
72,2017-08-06 10:12:00,,,15.0,Wet,,,,2017-08-06 10:27:00,2017-08-06,2017-08-06,2019-01-01 10:12:00,2019-01-01 10:27:00,4 days,2017-08-02 10:12:00,2017-08-02 10:27:00,0.0
73,2017-08-06 10:59:00,19.0,6.0,25.0,Nursing,,,,2017-08-06 11:24:00,2017-08-06,2017-08-06,2019-01-01 10:59:00,2019-01-01 11:24:00,4 days,2017-08-02 10:59:00,2017-08-02 11:24:00,0.0
74,2017-08-06 11:31:00,,,21.0,Sleep,,,,2017-08-06 11:52:00,2017-08-06,2017-08-06,2019-01-01 11:31:00,2019-01-01 11:52:00,4 days,2017-08-02 11:31:00,2017-08-02 11:52:00,0.0
75,2017-08-06 12:02:00,,,163.0,Sleep,,,,2017-08-06 14:45:00,2017-08-06,2017-08-06,2019-01-01 12:02:00,2019-01-01 14:45:00,4 days,2017-08-02 12:02:00,2017-08-02 14:45:00,0.0
76,2017-08-06 14:49:00,11.0,24.0,35.0,Nursing,,,,2017-08-06 15:24:00,2017-08-06,2017-08-06,2019-01-01 14:49:00,2019-01-01 15:24:00,4 days,2017-08-02 14:49:00,2017-08-02 15:24:00,0.0
77,2017-08-06 16:00:00,,,15.0,Wet,,,,2017-08-06 16:15:00,2017-08-06,2017-08-06,2019-01-01 16:00:00,2019-01-01 16:15:00,4 days,2017-08-02 16:00:00,2017-08-02 16:15:00,0.0
78,2017-08-06 17:00:00,22.0,3.0,25.0,Nursing,,,,2017-08-06 17:25:00,2017-08-06,2017-08-06,2019-01-01 17:00:00,2019-01-01 17:25:00,4 days,2017-08-02 17:00:00,2017-08-02 17:25:00,0.0
79,2017-08-06 17:38:00,,,181.0,Sleep,,,,2017-08-06 20:39:00,2017-08-06,2017-08-06,2019-01-01 17:38:00,2019-01-01 20:39:00,4 days,2017-08-02 17:38:00,2017-08-02 20:39:00,0.0
80,2017-08-06 20:42:00,0.0,16.0,16.0,Nursing,,,,2017-08-06 20:58:00,2017-08-06,2017-08-06,2019-01-01 20:42:00,2019-01-01 20:58:00,4 days,2017-08-02 20:42:00,2017-08-02 20:58:00,0.0
81,2017-08-06 21:17:00,,,15.0,Wet,,,,2017-08-06 21:32:00,2017-08-06,2017-08-06,2019-01-01 21:17:00,2019-01-01 21:32:00,4 days,2017-08-02 21:17:00,2017-08-02 21:32:00,0.0
82,2017-08-06 21:26:00,,,93.0,Sleep,,,,2017-08-06 22:59:00,2017-08-06,2017-08-06,2019-01-01 21:26:00,2019-01-01 22:59:00,4 days,2017-08-02 21:26:00,2017-08-02 22:59:00,0.0
83,2017-08-06 23:01:00,20.0,13.0,33.0,Nursing,,,,2017-08-06 23:34:00,2017-08-06,2017-08-06,2019-01-01 23:01:00,2019-01-01 23:34:00,4 days,2017-08-02 23:01:00,2017-08-02 23:34:00,0.0
84,2017-08-06 23:40:00,,,65.0,Sleep,,,,2017-08-07 00:45:00,2017-08-06,2017-08-06,2019-01-01 23:40:00,2019-01-01 00:45:00,4 days,2017-08-02 23:40:00,2017-08-03 00:00:00,0.0
85,,,,,Sleep,,,,,,2017-08-07,,,,2017-08-02 00:00:00,2017-08-02 00:45:00,
86,2017-08-07 00:57:00,5.0,17.0,22.0,Nursing,172.0,5.0,3.0,2017-08-07 01:19:00,2017-08-07,2017-08-07,2019-01-01 00:57:00,2019-01-01 01:19:00,5 days,2017-08-02 00:57:00,2017-08-02 01:19:00,0.0
87,2017-08-07 01:25:00,,,135.0,Sleep,,,,2017-08-07 03:40:00,2017-08-07,2017-08-07,2019-01-01 01:25:00,2019-01-01 03:40:00,5 days,2017-08-02 01:25:00,2017-08-02 03:40:00,0.0
